"Gogol_MertvieDushi" "Gogol_TarasBulba" "Lermontov_GeroyNashegoVremeni" "Lermontov_KnyaginyaLigovskaya" "Pushkin_Dubrovsky" "Pushkin_KapitanskayaDochka"
"теперь" 0.133539315545547 0.184097246663237 0.126211511442383 0.144076840981857 0.0581367181822586 0.0942134694869925
"кто" 0.130920897593674 0.175975309310448 0.109542066534899 0.128068303094984 0.106583983334141 0.103330902017992
"себя" 0.149249823256788 0.124536372742778 0.121448812897388 0.0853788687299893 0.0726708977278233 0.145878920495988
"ничего" 0.158414286088345 0.105585185586269 0.128592860714881 0.096051227321238 0.101739256818953 0.100291757840992
"вам" 0.104736718074939 0.0649754988223191 0.188126592527326 0.224119530416222 0.111428709849329 0.100291757840992
"время" 0.170197166871776 0.132658310095568 0.0571523825399471 0.0907150480256137 0.125962889394894 0.0942134694869925
"между" 0.11259197193056 0.110999810488128 0.11906746362489 0.138740661686233 0.184099607577152 0.109409190371991
"вас" 0.0942630462674452 0.0649754988223191 0.169075798347344 0.181430096051227 0.155031248486023 0.12156576707999
"один" 0.11651959885837 0.186804559114167 0.147643654894863 0.080042689434365 0.0581367181822586 0.0790177486019937
"будет" 0.100809091147129 0.151609497252078 0.121448812897388 0.0853788687299893 0.106583983334141 0.151957208849988
"них" 0.125684061689927 0.184097246663237 0.111923415807396 0.0907150480256137 0.0968945303037644 0.0729394602479942
"всех" 0.149249823256788 0.232828870779977 0.0523896839949515 0.101387406616862 0.0678261712126351 0.0455871626549964
"ей" 0.0654604487968369 0.0812193735278989 0.176219846164837 0.16008537886873 0.179254881061964 0.139800632141989
"ну" 0.179361629703333 0.0893413108806887 0.0904912723549163 0.0213447171824973 0.0678261712126351 0.12156576707999
"потому" 0.133539315545547 0.127243685193708 0.16193175052985 0.144076840981857 0.0339130856063175 0.0334305859469973
"человек" 0.167578748919903 0.0920486233316187 0.0928726216274141 0.080042689434365 0.0726708977278233 0.0911743253099927
"потом" 0.161032704040219 0.121829060291848 0.0881099230824185 0.133404482390608 0.0532919916670704 0.0577437393629954
"ж" 0.181980047655207 0.0920486233316187 0.0785845259924273 0.0853788687299893 0.0532919916670704 0.0790177486019937
"тем" 0.140085360425231 0.0947559357825487 0.0952539708999119 0.117395944503735 0.116273436364517 0.0850960369559932
"какой" 0.213401063077688 0.0785120610769689 0.0714404781749339 0.080042689434365 0.043602538636694 0.0273522975929978
"тебе" 0.119138016810243 0.0595608739204592 0.104779367989903 0.0266808964781217 0.0823603507581997 0.227935813274982
"ним" 0.090335419339635 0.154316809703008 0.0762031767199295 0.101387406616862 0.155031248486023 0.109409190371991
"дело" 0.161032704040219 0.0839266859788288 0.0666777796299383 0.064034151547492 0.0726708977278233 0.103330902017992
"без" 0.12044722578618 0.105585185586269 0.0857285738099207 0.106723585912487 0.116273436364517 0.0942134694869925
"сам" 0.166269539943966 0.0974632482334786 0.0381015883599648 0.064034151547492 0.106583983334141 0.0881351811329929
"которые" 0.123065643738053 0.146194872350218 0.0881099230824185 0.128068303094984 0.0242236325759411 0.0790177486019937
"того" 0.129611688617737 0.132658310095568 0.0619150810849427 0.0426894343649947 0.116273436364517 0.0850960369559932
"может" 0.115210389882433 0.0947559357825487 0.128592860714881 0.16008537886873 0.0484472651518822 0.0486263068319961
"чем" 0.103427509099002 0.108292498037198 0.0904912723549163 0.133404482390608 0.0775156242430115 0.106370046194991
"вдруг" 0.0916446283155717 0.129950997644638 0.0857285738099207 0.0853788687299893 0.101739256818953 0.12460491125699
"который" 0.108664345002749 0.0893413108806887 0.104779367989903 0.149413020277481 0.0629814446974468 0.0911743253099927
"раз" 0.102118300123066 0.0920486233316187 0.164313099802348 0.106723585912487 0.0678261712126351 0.0334305859469973
"глаза" 0.0772433295802676 0.0622681863713891 0.154787702712357 0.186766275346852 0.0532919916670704 0.0668611718939947
"мой" 0.0667696577727737 0.0243658120583697 0.126211511442383 0.064034151547492 0.0775156242430115 0.218818380743982
"мог" 0.0811709565080778 0.0568535614695292 0.102398018717405 0.0907150480256137 0.0968945303037644 0.148918064672988
"чтоб" 0.0366578513262287 0.0243658120583697 0.190507941799824 0.213447171824973 0.0823603507581997 0.109409190371991
"после" 0.11259197193056 0.0568535614695292 0.111923415807396 0.106723585912487 0.106583983334141 0.0334305859469973
"при" 0.0837893744599513 0.0785120610769689 0.0690591289024361 0.0853788687299893 0.121118162879705 0.133722343787989
"там" 0.108664345002749 0.116414435389988 0.0762031767199295 0.0693703308431163 0.0581367181822586 0.0668611718939947
